Date,Open,High,Low,Close,Volume
06/23/2022,"249.00","258.40","247.40","252.50","1,094,219"
06/22/2022,"252.90","252.90","245.50","247.40","542,477"
06/21/2022,"248.05","258.65","238.25","254.00","2,250,784"
06/20/2022,"265.30","267.05","248.75","248.75","1,052,080"
06/17/2022,"257.80","268.00","249.50","261.80","1,012,996"
06/16/2022,"278.90","282.40","258.45","259.25","871,840"
06/15/2022,"272.00","275.50","270.05","271.95","907,553"
06/14/2022,"261.50","279.40","261.50","266.80","1,067,007"
06/13/2022,"268.80","275.50","266.00","266.10","867,814"
06/10/2022,"282.95","285.20","279.00","280.00","908,623"
06/09/2022,"282.30","290.60","277.00","288.00","1,220,138"
06/08/2022,"295.65","296.80","282.20","284.50","663,882"
06/07/2022,"297.95","303.20","288.15","291.20","1,670,425"
06/06/2022,"284.25","298.45","276.90","298.45","2,151,807"
06/03/2022,"300.00","303.00","282.00","284.25","2,464,656"
06/02/2022,"292.25","313.15","292.25","295.40","5,176,784"
06/01/2022,"310.60","316.40","307.60","307.60","987,439"
05/31/2022,"323.75","323.75","323.75","323.75","371,145"
05/30/2022,"336.00","344.75","325.85","340.75","4,594,717"
05/27/2022,"327.10","329.95","315.00","328.35","1,539,148"
05/26/2022,"309.80","314.25","286.10","314.25","1,791,520"
05/25/2022,"309.00","318.90","296.00","299.30","2,019,256"
05/24/2022,"343.40","343.80","311.15","311.15","3,347,353"
05/23/2022,"321.00","327.50","318.50","327.50","882,797"
05/20/2022,"307.30","311.95","305.15","311.95","1,793,245"
05/19/2022,"284.00","303.95","284.00","297.10","3,831,091"
